Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
689913.945,1.52275,50.082276,53.514285,19.901004,67.086554,73.163812,9.965973,21.302323,24.363758,86.761266,50.058343,79.323279,1.50175,21.094819,20.023337,32.161396,0.473316
689914.945,1.527308,50.336873,53.48427,20.078064,67.072346,73.135002,9.948576,21.158972,24.328446,86.758906,50.057604,79.081071,1.501728,27.187075,20.023041,32.077016,0.477613
689915.945,1.529593,50.484172,52.84773,20.029786,66.954637,73.13998,9.971454,21.08017,24.329581,86.75857,50.058548,78.852215,1.501756,33.85448,20.023419,32.112075,0.482683
689916.945,1.54405,50.553088,53.146364,19.842625,67.009543,73.040128,9.960482,21.152113,24.271181,86.760827,50.058411,78.640708,1.501752,44.399659,20.023364,32.204314,0.469076
689917.945,1.540286,50.556795,52.998944,20.187913,66.970082,73.071896,9.94889,21.29349,24.315959,86.763191,50.058685,78.47125,1.501761,54.093135,20.023474,32.043346,0.479156
689918.948,1.514856,50.694,53.086761,20.062806,66.971271,73.052074,9.954074,21.340844,24.270351,86.761861,50.057274,78.168694,1.501718,58.346755,20.02291,32.102719,0.475674
689919.948,1.512586,50.559372,53.316452,19.955935,66.972074,73.110624,9.984321,21.267275,24.290486,86.759416,50.05848,78.074877,1.501754,60.87171,20.023392,32.15352,0.478792
689920.952,1.510535,50.375397,52.885076,19.987553,66.972573,73.152994,9.973572,21.088532,24.32062,86.762231,50.058685,78.073399,1.501761,63.449811,20.023474,32.151838,0.486487
689921.952,1.490701,50.082465,53.213229,19.992355,66.935127,73.150199,9.997898,20.922864,24.276317,86.762292,50.058411,78.228645,1.501752,61.826897,20.023364,32.145998,0.484083
689922.952,1.447658,50.04392,53.280488,19.834231,66.828427,73.130441,9.982277,20.784695,24.240446,86.76436,50.059032,78.253187,1.501771,50.528874,20.023613,32.230734,0.469816
689923.952,1.448825,49.507074,53.208975,20.131376,66.870956,73.096735,9.971009,20.787119,24.305222,86.763443,50.058617,78.748254,1.501758,35.992193,20.023447,32.089742,0.481552
689924.954,1.45596,49.369452,52.712881,19.953651,66.772251,73.012086,9.984901,20.919592,24.288996,86.761236,50.058617,79.065067,1.501758,24.848914,20.023447,32.182131,0.478476
689925.954,1.45714,49.439923,53.295797,19.913799,66.962187,72.938804,9.97271,21.033518,24.255376,86.759852,50.058207,79.237469,1.501746,13.582672,20.023283,32.210326,0.4889
689926.956,1.456722,49.569711,53.666407,19.989048,66.920265,73.025042,9.969422,21.061122,24.329528,86.760845,50.058962,79.333528,1.501769,3.576435,20.023585,32.197251,0.475597
689927.956,1.45739,49.597144,52.481268,20.11195,66.940744,73.014005,9.939888,20.993891,24.334288,86.761215,50.058893,79.480051,1.501767,1.525219,20.023557,32.138934,0.47403
689928.956,1.45296,49.94703,53.080267,20.110745,66.999518,73.076066,9.957297,20.915528,24.342402,86.763351,50.059524,79.316534,1.501786,1.410678,20.02381,32.13003,0.478168
689929.956,1.433411,50.135484,52.801695,20.270309,67.042279,73.107093,9.964338,20.893096,24.329457,86.766901,50.058207,79.18287,1.501746,1.192576,20.023283,32.015945,0.472505
689930.956,1.434477,50.223198,52.879403,20.223636,67.010524,73.103812,9.995769,20.979837,24.245604,86.765244,50.058754,79.075577,1.501763,1.53748,20.023502,32.018182,0.475101
