Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
690587.112,1.514115,38.335294,52.475877,32.592795,70.721466,79.068747,9.951057,21.309416,24.32902,86.786484,37.543203,62.661016,1.501728,38.304384,32.537442,49.597904,0.474749
690588.112,1.517209,38.144584,52.825859,32.673868,70.458187,79.41134,9.978715,21.268418,24.308032,86.7841,37.544014,62.560552,1.501761,42.011731,32.538146,49.537067,0.475233
690589.112,1.50931,38.114211,52.568314,32.599885,70.596864,79.377317,9.967313,21.282619,24.33637,86.783917,37.54459,62.388103,1.501784,44.775987,32.538644,49.556706,0.470725
690590.112,1.504084,37.23134,51.936553,32.641318,70.660972,79.409949,9.96612,21.373901,24.348857,86.786455,37.54417,62.984516,1.501767,45.424489,32.53828,49.516565,0.481991
690591.116,1.489059,36.69398,52.69963,32.469773,70.778659,79.401844,9.934697,21.421928,24.347855,86.783143,37.543554,63.572582,1.501742,42.783607,32.537747,49.608749,0.462281
690592.116,1.458979,36.104217,53.010192,32.524424,70.706495,79.404396,9.968241,21.408912,24.356907,86.786126,37.544431,64.408407,1.501777,34.485531,32.538507,49.583826,0.464744
690593.116,1.443681,36.174141,52.555146,32.457208,70.848426,79.049477,9.95582,21.370328,24.298144,86.781819,37.544379,64.853489,1.501775,19.765345,32.538462,49.620557,0.473569
690594.123,1.447403,36.19348,51.908388,32.457305,70.722681,79.228697,9.971517,21.323543,24.323091,86.78088,37.543706,65.30236,1.501748,6.205936,32.537879,49.631799,0.471769
690595.123,1.445214,37.05741,52.710673,32.490105,70.842284,79.114645,9.971982,21.229833,24.307314,86.783676,37.543706,65.014477,1.501748,1.943527,32.537879,49.635212,0.460504
690596.126,1.449732,37.781516,51.916235,32.737877,70.755985,79.023454,9.972397,21.150267,24.267572,86.785836,37.544066,64.505964,1.501763,1.92038,32.53819,49.498132,0.465835
690597.126,1.462438,38.478021,52.825205,32.761729,70.929988,79.013746,9.972098,21.172325,24.309655,86.781991,37.544066,63.788607,1.501763,1.988206,32.53819,49.444599,0.479213
690598.126,1.471448,38.79723,52.815479,32.710671,70.797645,79.128885,9.986243,21.242346,24.267362,86.786503,37.544222,63.166097,1.501769,2.232731,32.538325,49.440209,0.476932
690599.126,1.474533,38.820686,51.606017,32.69654,70.78671,79.38389,9.974029,21.316264,24.304231,86.783826,37.544014,62.712421,1.501761,2.465347,32.538146,49.429669,0.473575
690600.126,1.471072,38.716181,52.720269,32.737958,70.861124,79.504179,9.947593,21.354997,24.312319,86.784149,37.543757,62.366855,1.50175,2.2017,32.537923,49.38183,0.465615
690601.126,1.471276,38.283564,52.879517,32.658204,70.582452,79.614894,9.962978,21.36707,24.267666,86.787621,37.544964,62.35221,1.501799,2.163951,32.538969,49.394398,0.468589
690602.126,1.468576,37.668042,51.709417,32.67235,70.595498,79.479588,9.948743,21.381757,24.327393,86.779765,37.543203,62.656392,1.501728,1.669958,32.537442,49.362556,0.476259
690603.126,1.487701,37.012599,52.370645,32.698651,70.678063,79.411908,9.959764,21.428022,24.250559,86.785742,37.543911,63.196964,1.501756,2.726862,32.538056,49.31937,0.47232
690604.126,1.486969,36.40099,52.7529,32.619063,70.92024,79.496256,9.967635,21.536849,24.337024,86.787237,37.543655,63.943201,1.501746,2.660343,32.537835,49.344518,0.47157
690605.126,1.489633,36.169345,52.62037,32.537404,70.881479,79.325199,9.968086,21.662435,24.316462,86.786827,37.543655,64.557861,1.501746,2.694615,32.537835,49.388098,0.482645
690606.126,1.491888,36.431804,52.723283,32.50304,70.8861,79.23221,9.974206,21.734639,24.369503,86.787912,37.54386,64.800036,1.501754,2.781212,32.538012,49.40322,0.471782
690607.126,1.491515,36.842051,52.788714,32.362948,70.937126,79.164362,9.986652,21.715358,24.342015,86.790184,37.54459,64.820348,1.501784,3.264167,32.538644,49.491279,0.470084
690608.126,1.493499,37.369564,52.672168,32.356634,70.982282,79.227127,9.969478,21.660539,24.348302,86.787585,37.544222,64.578374,1.501769,2.805734,32.538325,49.506922,0.4736
690609.126,1.500084,37.951579,52.646669,32.680982,70.945859,79.230018,9.971705,21.599548,24.26753,86.785752,37.543503,64.106761,1.50174,2.451764,32.537703,49.370277,0.485075
690610.126,1.501747,38.435972,52.775119,32.286268,70.86691,79.279344,9.959553,21.565557,24.378491,86.785276,37.543808,63.518156,1.501752,3.04581,32.537967,49.560104,0.460914
690611.126,1.501003,38.507474,51.903238,32.491613,70.583929,79.214633,9.965097,21.465761,24.397066,86.78789,37.544643,63.141183,1.501786,3.358967,32.53869,49.491428,0.471042
690612.127,1.500406,38.516395,52.162763,32.707245,70.691907,79.180967,9.965325,21.281799,24.285029,86.785802,37.544431,62.801584,1.501777,3.935263,32.538507,49.362512,0.481952
690613.127,1.516263,38.283582,52.927248,32.388781,70.493861,79.391772,9.951741,21.069744,24.27958,86.785884,37.544014,62.667367,1.501761,6.858991,32.538146,49.527389,0.468026
690614.127,1.538542,37.802699,52.424364,32.587434,70.486654,79.388279,9.971168,20.939599,24.281479,86.783925,37.544118,62.847475,1.501765,14.484835,32.538235,49,0.468026
