Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Makeup Temperature (C),Makeup Flowrate (L/min),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
689430.236,1.471385,50.250008,52.949875,45.334213,75.198534,82.459311,10.037275,21.154914,24.457445,86.760333,50.058343,78.302316,1.50175,1.810728,45.052509,70.943516,0.495355
689431.236,1.49153,50.184988,52.773548,45.284905,75.036705,82.51001,10.037358,21.220702,24.458893,86.762008,50.06068,78.304241,1.50182,3.1919,45.054612,70.918378,0.484721
689432.236,1.503769,50.157509,52.975121,45.193155,75.085014,82.463855,10.026607,21.197835,24.476569,86.763912,50.059524,78.284146,1.501786,4.711547,45.053571,70.929883,0.487199
689433.236,1.500407,50.11234,52.56667,44.983967,75.10272,82.49838,10.030024,21.106646,24.470724,86.762025,50.058893,78.289407,1.501767,4.667461,45.053004,71.02854,0.480593
689434.236,1.500286,50.157288,52.985582,45.114633,75.123367,82.47395,10.03764,20.939879,24.42781,86.762965,50.057803,78.231692,1.501734,4.426582,45.052023,70.959916,0.480064
689435.236,1.500095,50.175013,52.976444,45.209976,75.24019,82.582645,10.059338,20.844455,24.463537,86.76286,50.058411,78.180802,1.501752,4.196428,45.05257,70.898159,0.495061
689436.236,1.503278,50.035256,52.619863,45.015939,75.256131,82.649625,10.040838,20.863673,24.465432,86.76556,50.059453,78.262264,1.501784,4.266573,45.053508,70.989564,0.477396
689437.236,1.518895,49.826485,53.088645,45.093108,75.162235,82.674396,10.047156,20.99245,24.469052,86.758843,50.057937,78.457219,1.501738,8.14163,45.052144,70.954185,0.481845
689438.236,1.531051,49.637365,51.705663,44.933334,75.311395,82.647123,10.060856,21.175958,24.427841,86.763146,50.059242,78.713632,1.501777,14.846973,45.053318,71.043354,0.479382
689439.236,1.53414,49.413104,52.997488,44.952455,75.149994,82.677107,10.037957,21.362934,24.499005,86.76389,50.058962,79.061251,1.501769,23.069404,45.053066,71.059361,0.481589
689440.236,1.520174,49.353074,53.740101,45.032393,75.203018,82.523037,10.041013,21.515967,24.436728,86.761957,50.058685,79.342154,1.501761,28.219499,45.052817,71.032457,0.474809
689441.237,1.528397,49.341232,53.1447,45.146025,75.170693,82.494359,10.020222,21.6305,24.470459,86.758652,50.05767,79.592979,1.50173,34.530082,45.051903,70.969609,0.486141
689442.237,1.527903,49.719875,53.062579,45.054439,75.044017,82.528004,10.038021,21.734434,24.431283,86.75879,50.058005,79.512311,1.50174,41.158777,45.052204,71.008682,0.47662
689443.237,1.527406,50.047104,52.708567,45.113185,74.93388,82.412689,10.036077,21.811426,24.376884,86.757576,50.057274,79.319236,1.501718,47.585812,45.051546,70.962916,0.483096
689444.239,1.523692,50.230388,52.850052,45.015796,74.9602,82.365632,10.047767,21.845084,24.441141,86.755155,50.05848,79.159883,1.501754,53.303275,45.052632,71.013224,0.494996
689445.244,1.523756,50.367029,53.020848,45.097457,74.880068,82.318303,10.05951,21.752613,24.489211,86.757804,50.056948,78.969625,1.501708,58.70893,45.051253,70.975667,0.497186
689446.249,1.498851,50.39939,53.450286,44.777815,74.85823,82.274591,10.059607,21.55645,24.463966,86.762483,50.058893,78.833688,1.501767,60.207261,45.053004,71.153884,0.48314
689447.25,1.481248,50.362039,52.379156,45.021465,74.941019,82.266451,10.044362,21.310642,24.453142,86.764398,50.058411,78.748108,1.501752,56.225045,45.05257,71.056359,0.471422
689448.25,1.456867,50.366254,53.452032,45.092999,75.014132,82.293178,10.05908,21.040328,24.388207,86.761747,50.058548,78.642957,1.501756,44.850091,45.052693,71.036763,0.470921
689449.254,1.434007,50.411104,52.631759,45.045299,74.944427,82.379255,10.042364,20.887014,24.472707,86.762377,50.058343,78.496254,1.50175,29.550616,45.052509,71.046452,0.484063
689450.254,1.423662,50.388168,52.431767,45.039733,74.951113,82.329657,10.024579,20.963537,24.526891,86.758664,50.056818,78.388456,1.501705,10.239974,45.051136,71.050338,0.480491
689451.254,1.423692,50.355634,52.583133,45.068974,75.112502,82.319433,10.049288,21.2122,24.5157,86.758838,50.058072,78.309425,1.501742,1.660845,45.052265,71.036034,0.485447
689452.254,1.427232,50.288818,53.219976,45.289044,75.109496,82.51206,10.053858,21.454574,24.479662,86.762513,50.059172,78.267047,1.501775,1.423394,45.053254,70.918492,0.487716
689453.255,1.427139,50.114627,53.022891,45.080324,75.282652,82.569663,10.045189,21.656391,24.47178,86.76786,50.059809,78.34442,1.501794,1.565184,45.053828,70.993318,0.476653
689454.255,1.429507,49.887373,52.6556,45.407306,75.191973,82.676539,10.045597,21.825788,24.493725,86.761992,50.058411,78.528273,1.501752,1.494276,45.05257,70.787421,0.490069
689455.255,1.431767,49.708022,52.527092,45.213909,75.262272,82.67843,10.044905,21.96326,24.483144,86.760305,50.058685,78.75422,1.501761,1.76115,45.052817,70.836807,0.475333
689456.255,1.465563,49.669891,53.082376,45.332407,75.186579,82.665703,10.045682,21.965414,24.47405,86.761798,50.059737,78.917495,1.501792,2.68968,45.053763,70.748538,0.475184
689457.255,1.474296,49.559125,52.934212,45.323299,75.258626,82.557406,10.044106,21.908258,24.513636,86.759581,50.059032,79.142513,1.501771,1.95051,45.053129,70.697549,0.487446
689458.257,1.47659,49.632855,53.238011,45.139575,75.381689,82.614449,10.061519,21.892148,24.402257,86.759174,50.058275,79.261458,1.501748,2.533982,45.052448,70.754238,0.492668
689459.257,1.488435,49.861651,52.845044,45.383638,75.157433,82.705563,10.031843,21.88742,24.57378,86.761574,50.058962,79.200662,1.501769,2.666207,45.053066,70.614242,0.485544
689460.257,1.485936,50.077909,53.60458,45.150839,75.252848,82.548374,10.04242,21.806065,24.501403,86.761997,50.059172,79.070475,1.501775,2.161578,45.053254,70.697967,0.482015
689461.257,1.482631,50.28334,53.44386,45.051257,75.448779,82.611493,10.039272,21.612881,24.486203,86.762132,50.058962,78.880787,1.501769,2.171704,45.053066,70.733363,0.472977
689462.257,1.481885,50.441206,52.24631,45.115526,75.557914,82.722838,10.053971,21.389902,24.459016,86.758073,50.057339,78.650137,1.50172,3.53393,45.051606,70.69648,0.474962
689463.261,1.48104,50.476349,53.269603,45.142219,75.365559,82.826456,10.046471,21.202014,24.438949,86.754248,50.057737,78.484085,1.501732,2.208717,45.051963,70.673464,0.477762
689464.261,1.468547,50.400747,53.52782,45.023458,75.478535,82.738917,10.060145,21.18153,24.435439,86.755968,50.058824,78.407386,1.501765,1.663953,45.052941,70.726068,0.478425
689465.266,1.468858,50.308128,53.152948,45.252914,75.023227,82.785369,10.036252,21.292691,24.475678,86.755646,50.057737,78.369389,1.501732,2.229991,45.051963,70.591226,0.477394
689466.267,1.471043,50.234049,52.609559,45.044122,75.049961,82.540175,10.052582,21.436549,24.488317,86.753841,50.058343,78.357403,1.50175,2.237539,45.052509,70.683645,0.474598
689467.267,1.503603,50.148224,52.624167,45.209616,75.063391,82.54165,10.053353,21.535857,24.526162,86.757179,50.057737,78.369118,1.501732,3.892867,45.051963,70.577945,0.481197
689468.267,1.513253,50.098637,53.051289,45.037155,74.994839,82.522915,10.052927,21.637302,24.464914,86.759583,50.05848,78.390406,1.501754,6.975986,45.052632,70.655472,0.483106
689469.267,1.516501,50.008738,52.728727,45.146514,75.007436,82.528301,10.026486,21.711926,24.486637,86.760146,50.059032,78.45176,1.501771,10.779624,45.053129,70.603469,0.477109
689470.267,1.539528,49.825016,52.658469,44.901605,75.074798,82.494844,10.003812,21.740017,24.454641,86.758844,50.058411,78.634327,1.501752,18.700056,45.05257,70.706963,0.470173
689471.267,1.531102,49.614548,53.655671,45.036783,74.973227,82.534542,10.048562,21.727815,24.499046,86.759321,50.058685,78.904462,1.501761,26.666542,45.052817,70.662141,0.47873
689472.271,1.526836,49.442016,52.277548,44.96598,75.071953,82.410886,10.048413,21.642866,24.470071,86.760013,50.058548,79.218327,1.501756,33.372703,45.052693,70.715074,0.474849
689473.271,1.524268,49.39388,52.802238,45.084719,75.08708,82.383307,10.055985,21.526805,24.441815,86.760969,50.058343,79.478192,1.50175,38.795206,45.052509,70.662785,0.480943
689474.275,1.522548,49.512862,53.166986,45.124056,74.911978,82.423319,10.047113,21.412335,24.497003,86.761726,50.058685,79.608665,1.501761,44.098153,45.052817,70.648345,0.473988
689475.275,1.521196,49.705585,53.430139,44.974963,75.080855,82.32787,10.0392,21.412335,24.497003,86.761726,50.058685,79.608665,1.501761,44.098153,45.052817,70.648345,0.473988
